id,utcDate,status,matchday,stage,group,lastUpdated,referees,area_id,area_name,area_code,area_flag,competition_id,competition_name,competition_code,competition_type,competition_emblem,season_id,season_startDate,season_endDate,season_currentMatchday,season_winner,homeTeam_id,homeTeam_name,homeTeam_shortName,homeTeam_tla,homeTeam_crest,awayTeam_id,awayTeam_name,awayTeam_shortName,awayTeam_tla,awayTeam_crest,score_winner,score_duration,score_fullTime_home,score_fullTime_away,score_halfTime_home,score_halfTime_away,score_regularTime_home,score_regularTime_away,score_extraTime_home,score_extraTime_away,score_penalties_home,score_penalties_away,odds_msg
536851,2025-09-21T00:00:00Z,SCHEDULED,4,REGULAR_SEASON,,2025-07-04T12:08:06Z,[],2114,Italy,ITA,https://crests.football-data.org/784.svg,2019,Serie A,SA,LEAGUE,https://crests.football-data.org/SA.png,2395,2025-08-24,2026-05-24,1,,113,SSC Napoli,Napoli,NAP,https://crests.football-data.org/113.png,487,AC Pisa 1909,AC Pisa,PIS,https://crests.football-data.org/487.png,,REGULAR,,,,,,,,,,,Activate Odds-Package in User-Panel to retrieve odds.
536852,2025-09-21T00:00:00Z,SCHEDULED,4,REGULAR_SEASON,,2025-07-04T12:08:07Z,[],2114,Italy,ITA,https://crests.football-data.org/784.svg,2019,Serie A,SA,LEAGUE,https://crests.football-data.org/SA.png,2395,2025-08-24,2026-05-24,1,,115,Udinese Calcio,Udinese,UDI,https://crests.football-data.org/115.png,98,AC Milan,Milan,MIL,https://crests.football-data.org/98.png,,REGULAR,,,,,,,,,,,Activate Odds-Package in User-Panel to retrieve odds.
536853,2025-09-21T00:00:00Z,SCHEDULED,4,REGULAR_SEASON,,2025-07-04T12:08:06Z,[],2114,Italy,ITA,https://crests.football-data.org/784.svg,2019,Serie A,SA,LEAGUE,https://crests.football-data.org/SA.png,2395,2025-08-24,2026-05-24,1,,457,US Cremonese,Cremonese,CRE,https://crests.football-data.org/457.png,112,Parma Calcio 1913,Parma,PAR,https://crests.football-data.org/112.png,,REGULAR,,,,,,,,,,,Activate Odds-Package in User-Panel to retrieve odds.
536854,2025-09-21T00:00:00Z,SCHEDULED,4,REGULAR_SEASON,,2025-07-04T12:08:07Z,[],2114,Italy,ITA,https://crests.football-data.org/784.svg,2019,Serie A,SA,LEAGUE,https://crests.football-data.org/SA.png,2395,2025-08-24,2026-05-24,1,,5890,US Lecce,Lecce,USL,https://crests.football-data.org/5890.png,104,Cagliari Calcio,Cagliari,CAG,https://crests.football-data.org/104.png,,REGULAR,,,,,,,,,,,Activate Odds-Package in User-Panel to retrieve odds.
536855,2025-09-28T00:00:00Z,SCHEDULED,5,REGULAR_SEASON,,2025-07-04T12:08:06Z,[],2114,Italy,ITA,https://crests.football-data.org/784.svg,2019,Serie A,SA,LEAGUE,https://crests.football-data.org/SA.png,2395,2025-08-24,2026-05-24,1,,98,AC Milan,Milan,MIL,https://crests.football-data.org/98.png,113,SSC Napoli,Napoli,NAP,https://crests.football-data.org/113.png,,REGULAR,,,,,,,,,,,Activate Odds-Package in User-Panel to retrieve odds.
536856,2025-09-28T00:00:00Z,SCHEDULED,5,REGULAR_SEASON,,2025-07-04T12:08:05Z,[],2114,Italy,ITA,https://crests.football-data.org/784.svg,2019,Serie A,SA,LEAGUE,https://crests.football-data.org/SA.png,2395,2025-08-24,2026-05-24,1,,100,AS Roma,Roma,ROM,https://crests.football-data.org/100.png,450,Hellas Verona FC,Verona,HVE,https://crests.football-data.org/450.png,,REGULAR,,,,,,,,,,,Activate Odds-Package in User-Panel to retrieve odds.
536857,2025-09-28T00:00:00Z,SCHEDULED,5,REGULAR_SEASON,,2025-08-23T00:20:52Z,[],2114,Italy,ITA,https://crests.football-data.org/784.svg,2019,Serie A,SA,LEAGUE,https://crests.football-data.org/SA.png,2395,2025-08-24,2026-05-24,1,,104,Cagliari Calcio,Cagliari,CAG,https://crests.football-data.org/104.png,108,FC Internazionale Milano,Inter,INT,https://crests.football-data.org/108.png,,REGULAR,,,,,,,,,,,Activate Odds-Package in User-Panel to retrieve odds.
536858,2025-09-28T00:00:00Z,SCHEDULED,5,REGULAR_SEASON,,2025-07-04T12:08:06Z,[],2114,Italy,ITA,https://crests.football-data.org/784.svg,2019,Serie A,SA,LEAGUE,https://crests.football-data.org/SA.png,2395,2025-08-24,2026-05-24,1,,107,Genoa CFC,Genoa,GEN,https://crests.football-data.org/107.png,110,SS Lazio,Lazio,LAZ,https://crests.football-data.org/110.png,,REGULAR,,,,,,,,,,,Activate Odds-Package in User-Panel to retrieve odds.
536859,2025-09-28T00:00:00Z,SCHEDULED,5,REGULAR_SEASON,,2025-07-04T12:08:07Z,[],2114,Italy,ITA,https://crests.football-data.org/784.svg,2019,Serie A,SA,LEAGUE,https://crests.football-data.org/SA.png,2395,2025-08-24,2026-05-24,1,,7397,Como 1907,Como 1907,COM,https://crests.football-data.org/7397.png,457,US Cremonese,Cremonese,CRE,https://crests.football-data.org/457.png,,REGULAR,,,,,,,,,,,Activate Odds-Package in User-Panel to retrieve odds.
536860,2025-09-28T00:00:00Z,SCHEDULED,5,REGULAR_SEASON,,2025-08-23T00:20:52Z,[],2114,Italy,ITA,https://crests.football-data.org/784.svg,2019,Serie A,SA,LEAGUE,https://crests.football-data.org/SA.png,2395,2025-08-24,2026-05-24,1,,109,Juventus FC,Juventus,JUV,https://crests.football-data.org/109.png,102,Atalanta BC,Atalanta,ATA,https://crests.football-data.org/102.png,,REGULAR,,,,,,,,,,,Activate Odds-Package in User-Panel to retrieve odds.
536861,2025-09-28T00:00:00Z,SCHEDULED,5,REGULAR_SEASON,,2025-07-04T12:08:06Z,[],2114,Italy,ITA,https://crests.football-data.org/784.svg,2019,Serie A,SA,LEAGUE,https://crests.football-data.org/SA.png,2395,2025-08-24,2026-05-24,1,,112,Parma Calcio 1913,Parma,PAR,https://crests.football-data.org/112.png,586,Torino FC,Torino,TOR,https://crests.football-data.org/586.png,,REGULAR,,,,,,,,,,,Activate Odds-Package in User-Panel to retrieve odds.
536862,2025-09-28T00:00:00Z,SCHEDULED,5,REGULAR_SEASON,,2025-07-04T12:08:07Z,[],2114,Italy,ITA,https://crests.football-data.org/784.svg,2019,Serie A,SA,LEAGUE,https://crests.football-data.org/SA.png,2395,2025-08-24,2026-05-24,1,,487,AC Pisa 1909,AC Pisa,PIS,https://crests.football-data.org/487.png,99,ACF Fiorentina,Fiorentina,FIO,https://crests.football-data.org/99.png,,REGULAR,,,,,,,,,,,Activate Odds-Package in User-Panel to retrieve odds.
