id,date,league_id,home_team_id,away_team_id,home_elo,away_elo,h_rest_days,h_avg_xg_for_last_5,h_avg_xg_against_last_5,h_avg_ppda_last_5,h_avg_deep_last_5,h_avg_goals_scored_last_5,h_avg_goals_conceded_last_5,h_avg_points_last_5,h_xg_diff_last_5,a_rest_days,a_avg_xg_for_last_5,a_avg_xg_against_last_5,a_avg_ppda_last_5,a_avg_deep_last_5,a_avg_goals_scored_last_5,a_avg_goals_conceded_last_5,a_avg_points_last_5,a_xg_diff_last_5,elo_diff,rest_days_diff,h2h_home_pts,day_of_week,month,target_outcome,target_total_2_5,target_home_goals,target_away_goals
22,2020-09-26 16:30:00,1,11,14,1500.0,1819.16442871,7.0,0.334172,3.5591749999999998,30.30263157894737,6.0,1.0,4.0,0.0,-3.2250029999999996,6.0,1.0874015,1.8474599999999999,25.166007905138336,3.5,1.5,1.5,1.5,-0.7600585,-319.16442871000004,1.0,1.0,5,9,1,1,3,3
2247,2020-09-26 19:00:00,2,36,44,1500.0,1917.40625,6.0,1.0544915,0.733561,8.38888888888889,2.5,1.5,0.0,3.0,0.3209304999999999,6.0,0.769069,0.718119,7.0,7.0,0.0,0.0,1.0,0.05095000000000005,-417.40625,0.0,1.0,5,9,0,1,2,3
20,2020-09-26 19:00:00,1,18,2,1714.7401123,1700.4934082,6.0,1.52404,0.987365,16.095238095238095,6.0,2.0,4.0,0.0,0.536675,6.0,1.769875,1.837865,6.137681159420289,9.0,1.0,3.0,0.0,-0.06799,14.246704099999988,0.0,1.0,5,9,0,0,0,1
4486,2020-09-26 19:00:00,3,73,74,1698.79064941,1561.37780762,6.0,1.33639625,1.717965,10.898237179487179,4.75,1.25,1.25,1.75,-0.38156875,6.0,1.014112,1.1524572499999999,15.723100786208203,3.25,0.5,1.0,0.75,-0.13834524999999998,137.4128417899999,0.0,1.0,5,9,1,0,1,1
2253,2020-09-27 10:00:00,2,30,40,1701.38916016,1693.56262207,7.0,0.559876,0.6518245,9.62037037037037,4.0,1.0,0.5,1.5,-0.09194849999999999,13.0,2.37179,1.72531,9.909090909090908,5.0,2.0,4.0,0.0,0.6464799999999999,7.8265380899999855,-6.0,1.0,6,9,0,1,1,3
4489,2020-09-27 11:00:00,3,57,67,1609.76855469,1624.5189209,7.0,0.8689197499999999,1.379985,15.017379531388151,1.5,0.75,0.5,1.25,-0.5110652500000001,7.0,0.6741505,2.07273225,13.111393869288605,2.5,1.25,1.75,1.5,-1.39858175,-14.750366210000038,0.0,1.0,6,9,1,0,0,0
24,2020-09-27 11:00:00,1,15,6,1675.4967041,1630.20825195,5.0,0.8995125,1.20917,12.938095238095237,6.0,0.0,1.5,0.0,-0.30965750000000003,7.0,0.8611765,2.3545749999999996,8.475490196078432,3.5,3.5,3.5,1.5,-1.4933984999999996,45.28845215000001,-2.0,1.0,6,9,0,0,0,1
2252,2020-09-27 12:00:00,2,31,34,1680.38586426,1500.0,7.0,0.7280040000000001,1.8882565,6.669220945083014,1.0,0.5,1.0,0.5,-1.1602525,14.0,0.483337,0.545144,6.818181818181818,3.0,0.0,2.0,0.0,-0.061806999999999945,180.38586426000006,-7.0,1.0,6,9,0,1,1,2
4493,2020-09-27 13:00:00,3,69,68,1558.78234863,1527.71105957,8.0,1.1860265,1.5857177500000001,9.30523604269294,4.75,1.75,1.5,1.0,-0.39969125000000005,7.0,2.441095,0.45089674999999996,11.23334245575625,6.0,1.75,1.25,2.25,1.9901982499999997,31.0712890599998,1.0,1.0,6,9,1,0,1,1
4488,2020-09-27 13:00:00,3,60,70,1580.48510742,1551.51123047,7.0,1.3636615,1.3234314999999999,16.181339605734767,4.75,0.75,1.5,1.5,0.04023000000000021,7.0,1.50071275,1.31641775,7.114253747281764,7.25,1.75,2.25,1.5,0.18429499999999988,28.973876949999976,0.0,1.0,6,9,2,1,3,2
