id,utcDate,status,matchday,stage,group,lastUpdated,referees,area_id,area_name,area_code,area_flag,competition_id,competition_name,competition_code,competition_type,competition_emblem,season_id,season_startDate,season_endDate,season_currentMatchday,season_winner,homeTeam_id,homeTeam_name,homeTeam_shortName,homeTeam_tla,homeTeam_crest,awayTeam_id,awayTeam_name,awayTeam_shortName,awayTeam_tla,awayTeam_crest,score_winner,score_duration,score_fullTime_home,score_fullTime_away,score_halfTime_home,score_halfTime_away,odds_msg
540446,2025-09-27T13:30:00Z,TIMED,5,REGULAR_SEASON,,2025-08-23T00:20:52Z,[],2088,Germany,DEU,https://crests.football-data.org/759.svg,2002,Bundesliga,BL1,LEAGUE,https://crests.football-data.org/BL1.png,2414,2025-08-22,2026-05-16,1,,11,VfL Wolfsburg,Wolfsburg,WOB,https://crests.football-data.org/11.png,721,RB Leipzig,RB Leipzig,RBL,https://crests.football-data.org/721.png,,REGULAR,,,,,Activate Odds-Package in User-Panel to retrieve odds.
540448,2025-09-27T13:30:00Z,TIMED,5,REGULAR_SEASON,,2025-08-23T00:20:52Z,[],2088,Germany,DEU,https://crests.football-data.org/759.svg,2002,Bundesliga,BL1,LEAGUE,https://crests.football-data.org/BL1.png,2414,2025-08-22,2026-05-16,1,,20,FC St. Pauli 1910,St. Pauli,STP,https://crests.football-data.org/20.png,3,Bayer 04 Leverkusen,Leverkusen,B04,https://crests.football-data.org/3.png,,REGULAR,,,,,Activate Odds-Package in User-Panel to retrieve odds.
540449,2025-09-27T13:30:00Z,TIMED,5,REGULAR_SEASON,,2025-07-10T15:20:53Z,[],2088,Germany,DEU,https://crests.football-data.org/759.svg,2002,Bundesliga,BL1,LEAGUE,https://crests.football-data.org/BL1.png,2414,2025-08-22,2026-05-16,1,,44,1. FC Heidenheim 1846,Heidenheim,HEI,https://crests.football-data.org/44.png,16,FC Augsburg,Augsburg,FCA,https://crests.football-data.org/16.png,,REGULAR,,,,,Activate Odds-Package in User-Panel to retrieve odds.
540445,2025-09-27T16:30:00Z,TIMED,5,REGULAR_SEASON,,2025-07-10T15:20:53Z,[],2088,Germany,DEU,https://crests.football-data.org/759.svg,2002,Bundesliga,BL1,LEAGUE,https://crests.football-data.org/BL1.png,2414,2025-08-22,2026-05-16,1,,18,Borussia Mönchengladbach,M'gladbach,BMG,https://crests.football-data.org/18.png,19,Eintracht Frankfurt,Frankfurt,SGE,https://crests.football-data.org/19.png,,REGULAR,,,,,Activate Odds-Package in User-Panel to retrieve odds.
540443,2025-09-28T13:30:00Z,TIMED,5,REGULAR_SEASON,,2025-07-10T15:20:53Z,[],2088,Germany,DEU,https://crests.football-data.org/759.svg,2002,Bundesliga,BL1,LEAGUE,https://crests.football-data.org/BL1.png,2414,2025-08-22,2026-05-16,1,,17,SC Freiburg,Freiburg,SCF,https://crests.football-data.org/17.png,2,TSG 1899 Hoffenheim,Hoffenheim,TSG,https://crests.football-data.org/2.png,,REGULAR,,,,,Activate Odds-Package in User-Panel to retrieve odds.
540450,2025-09-28T15:30:00Z,TIMED,5,REGULAR_SEASON,,2025-08-23T00:20:52Z,[],2088,Germany,DEU,https://crests.football-data.org/759.svg,2002,Bundesliga,BL1,LEAGUE,https://crests.football-data.org/BL1.png,2414,2025-08-22,2026-05-16,1,,1,1. FC Köln,1. FC Köln,KOE,https://crests.football-data.org/1.png,10,VfB Stuttgart,Stuttgart,VFB,https://crests.football-data.org/10.png,,REGULAR,,,,,Activate Odds-Package in User-Panel to retrieve odds.
540447,2025-09-28T17:30:00Z,TIMED,5,REGULAR_SEASON,,2025-07-10T15:20:53Z,[],2088,Germany,DEU,https://crests.football-data.org/759.svg,2002,Bundesliga,BL1,LEAGUE,https://crests.football-data.org/BL1.png,2414,2025-08-22,2026-05-16,1,,28,1. FC Union Berlin,Union Berlin,UNB,https://crests.football-data.org/28.png,7,Hamburger SV,HSV,HSV,https://crests.football-data.org/7.png,,REGULAR,,,,,Activate Odds-Package in User-Panel to retrieve odds.
540451,2025-10-04T00:00:00Z,SCHEDULED,6,REGULAR_SEASON,,2025-08-23T00:20:52Z,[],2088,Germany,DEU,https://crests.football-data.org/759.svg,2002,Bundesliga,BL1,LEAGUE,https://crests.football-data.org/BL1.png,2414,2025-08-22,2026-05-16,1,,3,Bayer 04 Leverkusen,Leverkusen,B04,https://crests.football-data.org/3.png,28,1. FC Union Berlin,Union Berlin,UNB,https://crests.football-data.org/28.png,,REGULAR,,,,,Activate Odds-Package in User-Panel to retrieve odds.
540452,2025-10-04T00:00:00Z,SCHEDULED,6,REGULAR_SEASON,,2025-08-23T00:20:52Z,[],2088,Germany,DEU,https://crests.football-data.org/759.svg,2002,Bundesliga,BL1,LEAGUE,https://crests.football-data.org/BL1.png,2414,2025-08-22,2026-05-16,1,,19,Eintracht Frankfurt,Frankfurt,SGE,https://crests.football-data.org/19.png,5,FC Bayern München,Bayern,FCB,https://crests.football-data.org/5.png,,REGULAR,,,,,Activate Odds-Package in User-Panel to retrieve odds.
540453,2025-10-04T00:00:00Z,SCHEDULED,6,REGULAR_SEASON,,2025-08-23T00:20:52Z,[],2088,Germany,DEU,https://crests.football-data.org/759.svg,2002,Bundesliga,BL1,LEAGUE,https://crests.football-data.org/BL1.png,2414,2025-08-22,2026-05-16,1,,4,Borussia Dortmund,Dortmund,BVB,https://crests.football-data.org/4.png,721,RB Leipzig,RB Leipzig,RBL,https://crests.football-data.org/721.png,,REGULAR,,,,,Activate Odds-Package in User-Panel to retrieve odds.
